layer,phase_id,phase_label,event_id,event_name,event_date,event_week,event_family,event_anchor,expected_direction,hypothesis,source_url,window,pre_start,pre_end_exclusive,post_start,post_end_exclusive,n_obs_pre,n_obs_post,wallet_pct_shift_during_same_window,pre_window_truncated,post_window_truncated,post_window_crosses_luna,analysis_universe,analysis_universe_label,pre_sales_sum,pre_count_sum,pre_user_weeks_sum,pre_source_rows,post_sales_sum,post_count_sum,post_user_weeks_sum,post_source_rows,support_ok,share_of_wallet_pre,share_of_wallet_post,share_of_wallet_diff,share_of_wallet_pct_change,sales_per_active_user_pre,sales_per_active_user_post,sales_per_active_user_diff,sales_per_active_user_pct_change,count_per_active_user_pre,count_per_active_user_post,count_per_active_user_diff,count_per_active_user_pct_change,active_subcat_user_proxy_pre,active_subcat_user_proxy_post,active_subcat_user_proxy_diff,active_subcat_user_proxy_pct_change
universe,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,2,2,0.0363765285045368,False,False,False,all_crypto_like,All crypto-like rows,930539.3799999999,2607.0,1668.0,56,799837.1699999999,2604.0,1643.0,52,True,0.0007687976345692713,0.0006311962322348223,-0.00013760140233444896,-0.17898260367507754,2.039288483445393,1.7347988154312501,-0.3044896680141429,-0.14931171851650207,0.005712772856997601,0.00565307689924042,-5.969595775718109e-05,-0.0104495591285516,0.003654808222180523,0.0035665189264615705,-8.828929571895244e-05,-0.024157025581571415
universe,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,2,2,0.0363765285045368,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,687224.0700000001,1726.0,1142.0,54,651292.49,2019.0,1279.0,50,True,0.0005667606594973781,0.0005134274509465927,-5.333320855078539e-05,-0.09410181821385244,1.5059335415406632,1.4122477797427522,-0.093685761797911,-0.06221108648796325,0.003782208026730194,0.004382598550828744,0.0006003905240985503,0.15874074610792938,0.002502266398599521,0.0027759788383729007,0.0002737124397733798,0.10938581116965497
universe,treasury_crypto_casspr_consultation_2022_2w,Treasury crypto CASSPr licensing consultation +/-2w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,2,2022-03-07,2022-03-21,2022-03-21,2022-04-04,2,2,0.0363765285045368,False,False,False,primary_crypto_services,Primary crypto services,243315.31,881.0,526.0,2,148544.68,585.0,364.0,2,True,0.00020203697507189324,0.0001177687812882296,-8.426819378366364e-05,-0.4170929294188723,0.53335494190473,0.3225510356884981,-0.2108039062162319,-0.3952413105302895,0.0019305648302674065,0.0012704783484116754,-0.0006600864818557311,-0.34191365734363927,0.0011525418235810024,0.0007905400880886698,-0.00036200173549233265,-0.31408989078381205
universe,treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,4,2022-02-21,2022-03-21,2022-03-21,2022-04-18,4,4,-0.04254623641610206,False,False,False,all_crypto_like,All crypto-like rows,2012842.93,5569.0,3596.0,109,1587878.57,5053.0,3219.0,103,True,0.000801157993020014,0.0006605677460091944,-0.00014059024701081958,-0.17548379749773954,2.1906049682826514,1.734794876866892,-0.45581009141575946,-0.20807498294550877,0.006067101073203229,0.005520545499505849,-0.0005465555736973802,-0.0900851274938159,0.003915606573766109,0.0035169139994676545,-0.00039869257429845425,-0.10182140794471692
universe,treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,4,2022-02-21,2022-03-21,2022-03-21,2022-04-18,4,4,-0.04254623641610206,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,1415984.1800000002,3800.0,2491.0,105,1346811.8399999999,3980.0,2550.0,99,True,0.0005664376551638089,0.0005610664254993013,-5.371229664507572e-06,-0.009482472811512255,1.5424969489143947,1.4716588282213399,-0.07083812069305484,-0.04592431819259709,0.004140200909738331,0.004348465575482253,0.00020826466574392234,0.050303033665360236,0.002712529394867517,0.0027861235416298544,7.359414676233727e-05,0.027131188661618795
universe,treasury_crypto_casspr_consultation_2022_4w,Treasury crypto CASSPr licensing consultation +/-4w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,4,2022-02-21,2022-03-21,2022-03-21,2022-04-18,4,4,-0.04254623641610206,False,False,False,primary_crypto_services,Primary crypto services,596858.75,1769.0,1105.0,4,241066.72999999998,1073.0,669.0,4,True,0.00023472033785620517,9.950132050989303e-05,-0.00013521901734631214,-0.5760856455018835,0.6481080193682568,0.2631360486455519,-0.3849719707227049,-0.5939935307357503,0.0019269001634648975,0.0011720799240235954,-0.0007548202394413021,-0.39172773647182924,0.0012030771788985916,0.0007307904578377999,-0.0004722867210607916,-0.39256560538632
universe,treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,8,2022-01-24,2022-03-21,2022-03-21,2022-05-16,8,8,0.07612928718192326,False,False,True,all_crypto_like,All crypto-like rows,4517622.29,12600.0,8192.0,224,3523940.95,11635.0,7008.0,215,True,0.0009836742515472391,0.000697374675873014,-0.00028629957567422515,-0.29105120442453314,2.460524852671522,1.9587835008220478,-0.5017413518494744,-0.20391639259595662,0.006865893420617801,0.006463783436920164,-0.0004021099836976367,-0.05856630143575028,0.004462700296188579,0.0038894745199817456,-0.0005732257762068333,-0.12844819014541564
universe,treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,8,2022-01-24,2022-03-21,2022-03-21,2022-05-16,8,8,0.07612928718192326,False,False,True,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,3023314.75,8713.0,5673.0,216,3034270.26,9178.0,5545.0,207,True,0.00066027564278578,0.000600360689880991,-5.9914952904789034e-05,-0.09074233399251387,1.6476149226861192,1.687191377732156,0.03957645504603691,0.024020451927878335,0.004748004262314383,0.005099881668420065,0.00035187740610568164,0.07411059187511372,0.0030904359891907648,0.003077631010475532,-1.280497871523293e-05,-0.004143421433098808
universe,treasury_crypto_casspr_consultation_2022_8w,Treasury crypto CASSPr licensing consultation +/-8w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,8,2022-01-24,2022-03-21,2022-03-21,2022-05-16,8,8,0.07612928718192326,False,False,True,primary_crypto_services,Primary crypto services,1494307.54,3887.0,2519.0,8,489670.69000000006,2457.0,1463.0,8,True,0.0003233986087614591,9.701398599202304e-05,-0.00022638462276943608,-0.7000173056910669,0.8129099299854026,0.27159212308989156,-0.541317806895511,-0.6659013341185677,0.002117889158303418,0.0013639017685000993,-0.0007539873898033188,-0.35600890011038966,0.0013722643069978147,0.0008118435095062137,-0.000560420797491601,-0.40839129505427957
universe,treasury_crypto_casspr_consultation_2022_12w,Treasury crypto CASSPr licensing consultation +/-12w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,12,2021-12-27,2022-03-21,2022-03-21,2022-06-13,12,12,0.20609159250032646,False,False,True,all_crypto_like,All crypto-like rows,7444016.33,19924.0,12911.0,340,5017554.61,17363.0,10396.0,311,True,0.0011790317435129382,0.000635514469375628,-0.0005435172741373102,-0.4609861245278218,2.7063767107624876,1.8671870916386706,-0.8391896191238171,-0.31007864344479447,0.007244694075495183,0.006462539251004829,-0.0007821548244903546,-0.10796243655559651,0.004693851731517643,0.003866464814121848,-0.000827386917395795,-0.1762703563557768
universe,treasury_crypto_casspr_consultation_2022_12w,Treasury crypto CASSPr licensing consultation +/-12w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,12,2021-12-27,2022-03-21,2022-03-21,2022-06-13,12,12,0.20609159250032646,False,False,True,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,4739260.18,13665.0,8829.0,328,4302040.659999999,13783.0,8232.0,299,True,0.0007403190399006372,0.0005451554847832864,-0.00019516355511735078,-0.26362087775500803,1.7236049081347018,1.6014494119458542,-0.12215549618884758,-0.07087209813126209,0.004969096730920486,0.005131099725470495,0.0001620029945500097,0.03260210121125976,0.003209883206002783,0.0030618176262799056,-0.00014806557972287752,-0.04612802716497005
universe,treasury_crypto_casspr_consultation_2022_12w,Treasury crypto CASSPr licensing consultation +/-12w,treasury_crypto_casspr_consultation_2022,Treasury crypto CASSPr licensing consultation,2022-03-21,2022-03-21,crypto_regulation,Treasury opened consultation on licensing and custody requirements for crypto asset secondary service providers.,down,"Regulatory scrutiny / licensing uncertainty may reduce crypto-exchange funding, especially in short windows before LUNA.",https://treasury.gov.au/consultation/c2022-259046,12,2021-12-27,2022-03-21,2022-03-21,2022-06-13,12,12,0.20609159250032646,False,False,True,primary_crypto_services,Primary crypto services,2704756.1500000004,6259.0,4082.0,12,715513.9500000001,3580.0,2164.0,12,True,0.000438712703612301,9.035898459234149e-05,-0.0003483537190199595,-0.7940360882000046,0.9827718026277856,0.2657376796928162,-0.7170341229349695,-0.7296038826284259,0.002275597344574698,0.0013314395255343335,-0.0009441578190403645,-0.4149054846154361,0.0014839685255148601,0.0008046471878419428,-0.0006793213376729174,-0.45777341364920665
universe,treasury_crypto_casspr_consultation_close_2022_2w,Treasury crypto CASSPr consultation closes +/-2w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,2,2022-05-09,2022-05-23,2022-05-23,2022-06-06,2,2,0.08942481841955417,False,False,False,all_crypto_like,All crypto-like rows,1331468.11,4635.0,2578.0,58,718803.39,2582.0,1543.0,46,True,0.0009931294367069485,0.00048247038993986125,-0.0005106590467670873,-0.5141918343094808,3.025371199595156,1.6129797634882672,-1.412391436106889,-0.46684897254786123,0.01052791441475614,0.005794169206970701,-0.004733745207785439,-0.4496375085601499,0.005854984840546821,0.0034618221451211337,-0.0023931626954256874,-0.40873934956288976
universe,treasury_crypto_casspr_consultation_close_2022_2w,Treasury crypto CASSPr consultation closes +/-2w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,2,2022-05-09,2022-05-23,2022-05-23,2022-06-06,2,2,0.08942481841955417,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,1158173.05,3802.0,2098.0,56,588525.27,2057.0,1201.0,44,True,0.0008638874708994555,0.0003950167092480635,-0.00046887076165139205,-0.5427451808778022,2.6316111175770676,1.32138370662013,-1.3102274109569376,-0.4978803297362826,0.008635619384375688,0.004615670620657658,-0.00401994876371803,-0.46550786744854344,0.004764696042276658,0.002694484560968556,-0.0020702114813081025,-0.4344897267190454
universe,treasury_crypto_casspr_consultation_close_2022_2w,Treasury crypto CASSPr consultation closes +/-2w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,2,2022-05-09,2022-05-23,2022-05-23,2022-06-06,2,2,0.08942481841955417,False,False,False,primary_crypto_services,Primary crypto services,173295.06,833.0,480.0,2,130278.12000000001,525.0,342.0,2,True,0.0001292419658074931,8.745368069179772e-05,-4.178828511569539e-05,-0.32333371637150243,0.393760082018089,0.2915960568681374,-0.1021640251499516,-0.25945754741400695,0.0018922950303804525,0.0011784985863130433,-0.0007137964440674092,-0.3772120269870909,0.001090288798270163,0.0007673375841525776,-0.00032295121411758546,-0.29620703673189647
universe,treasury_crypto_casspr_consultation_close_2022_4w,Treasury crypto CASSPr consultation closes +/-4w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,4,2022-04-25,2022-05-23,2022-05-23,2022-06-20,4,4,0.07740115723533685,False,False,False,all_crypto_like,All crypto-like rows,2098789.16,7223.0,4155.0,111,1464391.3800000001,5168.0,2987.0,93,True,0.0007761641817298929,0.0004947634124819834,-0.0002814007692479095,-0.3625531503150936,2.379746753384132,1.649871728095949,-0.7298750252881829,-0.30670281375539654,0.008186776587019405,0.005822576607608581,-0.002364199979410824,-0.28878276502126565,0.004708332983374456,0.0033645638681689006,-0.001343769115205555,-0.28540231116841647
universe,treasury_crypto_casspr_consultation_close_2022_4w,Treasury crypto CASSPr consultation closes +/-4w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,4,2022-04-25,2022-05-23,2022-05-23,2022-06-20,4,4,0.07740115723533685,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,1833507.08,5818.0,3328.0,107,1253277.9600000002,4062.0,2317.0,89,True,0.0006779217786218622,0.00042353088419856265,-0.0002543908944232996,-0.3752511018903203,2.0789793004356047,1.4126342060224228,-0.6663450944131819,-0.32051550213778646,0.006594722318685338,0.004576047396498475,-0.0020186749221868623,-0.3061046128458198,0.003771272406040368,0.00260981278758707,-0.0011614596184532978,-0.3079755301136593
universe,treasury_crypto_casspr_consultation_close_2022_4w,Treasury crypto CASSPr consultation closes +/-4w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,4,2022-04-25,2022-05-23,2022-05-23,2022-06-20,4,4,0.07740115723533685,False,False,False,primary_crypto_services,Primary crypto services,265282.0800000001,1405.0,827.0,4,211113.42000000004,1106.0,670.0,4,True,9.824240310803068e-05,7.123252828342074e-05,-2.700987482460994e-05,-0.27493092565039323,0.30076745294852697,0.23723752207352622,-0.06352993087500075,-0.2112260826502168,0.0015920542683340684,0.0012465292111101057,-0.0003455250572239627,-0.2170309543439882,0.0009370605773340881,0.0007547510805818304,-0.00018230949675225767,-0.19455465437562558
universe,treasury_crypto_casspr_consultation_close_2022_8w,Treasury crypto CASSPr consultation closes +/-8w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,8,2022-03-28,2022-05-23,2022-05-23,2022-07-18,8,8,0.21704410496790835,False,False,False,all_crypto_like,All crypto-like rows,3672026.09,12447.0,7432.0,218,2741996.8,9169.0,5449.0,178,True,0.0007106792839715344,0.00043723453351192875,-0.00027344475045960567,-0.38476533174218464,2.048573214175981,1.5442999768286598,-0.5042732373473213,-0.24615826950083422,0.006944752250626181,0.005165955793230649,-0.0017787964573955312,-0.25613533689918805,0.0041428165161835825,0.0030698239176372008,-0.0010729925985463818,-0.25900075331717487
universe,treasury_crypto_casspr_consultation_close_2022_8w,Treasury crypto CASSPr consultation closes +/-8w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,8,2022-03-28,2022-05-23,2022-05-23,2022-07-18,8,8,0.21704410496790835,False,False,False,crypto_exchange_taxonomy_leakage,Crypto exchange labels outside Services,3189734.26,9929.0,5938.0,210,2326694.8200000003,7169.0,4218.0,170,True,0.0006174676967075501,0.0003718337971069161,-0.000245633899600634,-0.39780850222675385,1.779924794173966,1.3110807694046875,-0.46884402476927844,-0.2634066485864428,0.005541374904993155,0.004038848074942643,-0.0015025268300505124,-0.2711469366017148,0.003310341651054904,0.0023762924339496326,-0.0009340492171052714,-0.2821609717557759
universe,treasury_crypto_casspr_consultation_close_2022_8w,Treasury crypto CASSPr consultation closes +/-8w,treasury_crypto_casspr_consultation_close_2022,Treasury crypto CASSPr consultation closes,2022-05-27,2022-05-23,crypto_regulation,Submissions closed for the Treasury CASSPr licensing and custody consultation.,ambiguous,Closure date is heavily confounded by the LUNA collapse and should be diagnostic only.,https://treasury.gov.au/consultation/c2022-259046,8,2022-03-28,2022-05-23,2022-05-23,2022-07-18,8,8,0.21704410496790835,False,False,False,primary_crypto_services,Primary crypto services,482291.83,2518.0,1494.0,8,415301.98000000004,2000.0,1231.0,8,True,9.32115872639844e-05,6.540073640501271e-05,-2.7810850858971692e-05,-0.2983625928416885,0.2686484200020153,0.23321920742397256,-0.03542921257804271,-0.13187947495755584,0.0014033773456330256,0.0011271077182880068,-0.0002762696273450188,-0.19686054374805448,0.0008324748651286791,0.0006935314836875681,-0.000138943381441111,-0.16690399585774152
