cat_clean,analysis_universe,analysis_universe_label,sales,count,user_weeks,subcats,total_universe_sales,total_universe_count,share_of_universe_sales,share_of_universe_count
Other,audit_noise,Audit noise,17836390141.519512,81464144,34836289,152,86755652513.0231,628582301,0.2055934065949426,0.12959980557899928
Services,audit_noise,Audit noise,11039869594.130621,49159183,26621518,100,86755652513.0231,628582301,0.1272524530026836,0.07820643839604387
Loans,audit_noise,Audit noise,9420160468.620012,14327488,10235174,128,86755652513.0231,628582301,0.10858267093554427,0.022793336651710783
Restaurants & Dining,audit_noise,Audit noise,5526612563.051175,185230031,44317383,134,86755652513.0231,628582301,0.06370319861546268,0.29467904315046883
Taxes,audit_noise,Audit noise,5512643176.54,2141751,1629475,92,86755652513.0231,628582301,0.0635421787152426,0.003407272200621506
Electronics & Merchandise,audit_noise,Audit noise,4421652043.820194,19294016,13028963,147,86755652513.0231,628582301,0.050966731454834595,0.030694494530478355
Personal & Family,audit_noise,Audit noise,4328328672.560643,38603042,22017030,149,86755652513.0231,628582301,0.04989102781413473,0.06141286819337282
Rent,audit_noise,Audit noise,3545304590.3599997,5337349,4647481,94,86755652513.0231,628582301,0.04086540170771934,0.008491090174681835
Automotive & Fuel,audit_noise,Audit noise,3092779449.7700686,20521636,13368246,126,86755652513.0231,628582301,0.0356493134473953,0.03264749256756436
Entertainment & Recreation,audit_noise,Audit noise,2958833745.6804566,34496395,18930352,141,86755652513.0231,628582301,0.03410537135014112,0.05487967915278607
Mortgage,audit_noise,Audit noise,2775660248.02,2329388,1835127,85,86755652513.0231,628582301,0.031993998864838676,0.0037057804464017195
Travel,audit_noise,Audit noise,2598875011.7800684,31980014,16700005,109,86755652513.0231,628582301,0.02995626148267336,0.05087641498833738
Groceries,audit_noise,Audit noise,2525208472.8402843,49383231,23545041,113,86755652513.0231,628582301,0.029107134805553093,0.07856287223079161
Healthcare & Medical,audit_noise,Audit noise,2166444527.5001054,19341553,13412359,130,86755652513.0231,628582301,0.024971796819520147,0.030770120267831085
Home Improvement,audit_noise,Audit noise,1955909866.860004,6680175,4907946,123,86755652513.0231,628582301,0.02254504242898061,0.010627367314308139
Service Charges & Fees,audit_noise,Audit noise,1839867811.1699746,34634892,19153149,140,86755652513.0231,628582301,0.021207468999138557,0.055100011478051464
Utilities,audit_noise,Audit noise,1732466006.5400007,8487120,6256572,104,86755652513.0231,628582301,0.01996948851580519,0.013502002818879878
Telecom & Internet,audit_noise,Audit noise,1035226630.289999,5210196,4279771,134,86755652513.0231,628582301,0.011932670671050496,0.00828880480998462
Subscriptions & Online Services,audit_noise,Audit noise,510567050.72999436,4797693,3788162,139,86755652513.0231,628582301,0.005885115677659757,0.0076325613883296405
Education,audit_noise,Audit noise,477941210.53000003,2574806,1835970,77,86755652513.0231,628582301,0.005509049804659761,0.004096211420372143
Pets,audit_noise,Audit noise,398421418.099994,3444131,2790676,72,86755652513.0231,628582301,0.004592454860969273,0.005479204544131764
Office & Business,audit_noise,Audit noise,353995255.82000005,1676352,1299876,83,86755652513.0231,628582301,0.004080371083219747,0.0026668775072621717
Charitable Giving & Gifts,audit_noise,Audit noise,336296253.2299994,3970813,3227227,116,86755652513.0231,628582301,0.0038763612916117157,0.006317093232951209
Postage & Shipping,audit_noise,Audit noise,299810732.02000135,3082757,2326315,81,86755652513.0231,628582301,0.0034558063173462505,0.0049043013064410165
Clothing & Personal Care,audit_noise,Audit noise,66387571.53999999,414145,230840,100,86755652513.0231,628582301,0.0007652247388725984,0.0006588556491984333
Other,diagnostic_pos_terminal,POS-terminal diagnostic,7942643452.509998,191800,47744,1,15376941282.96,556600,0.5165294778950389,0.34459216672655407
Restaurants & Dining,diagnostic_pos_terminal,POS-terminal diagnostic,3005859750.8099995,161185,39893,1,15376941282.96,556600,0.19547839167084233,0.28958857348185413
Personal & Family,diagnostic_pos_terminal,POS-terminal diagnostic,1359589314.0100002,36508,18348,1,15376941282.96,556600,0.08841740948290105,0.0655910887531441
Groceries,diagnostic_pos_terminal,POS-terminal diagnostic,1171093296.5700002,58898,25313,1,15376941282.96,556600,0.07615905367784362,0.10581746316924183
Travel,diagnostic_pos_terminal,POS-terminal diagnostic,806291434.1700001,40508,18773,1,15376941282.96,556600,0.05243509871911225,0.07277757815307223
Entertainment & Recreation,diagnostic_pos_terminal,POS-terminal diagnostic,453979585.3,27430,15311,1,15376941282.96,556600,0.029523399806636368,0.04928135106000719
Healthcare & Medical,diagnostic_pos_terminal,POS-terminal diagnostic,267532379.35000002,11403,8015,1,15376941282.96,556600,0.017398283210359057,0.02048688465684513
Automotive & Fuel,diagnostic_pos_terminal,POS-terminal diagnostic,185603614.28,11501,7592,1,15376941282.96,556600,0.012070255772237172,0.02066295364714337
Electronics & Merchandise,diagnostic_pos_terminal,POS-terminal diagnostic,184348455.96,17367,10983,1,15376941282.96,556600,0.011988629765029166,0.03120194035213798
Insurance,health_insurance_primary,Health insurance primary,540853899.3000007,4288691,3944377,1,618103881.1200007,4798361,0.8750210374346404,0.8937824811430403
Healthcare & Medical,health_insurance_primary,Health insurance primary,77249981.82000005,509670,477268,1,618103881.1200007,4798361,0.1249789625653596,0.1062175188569597
Insurance,insurance_context,Insurance context,851569345.8899987,5585566,4499572,2,885959215.8799986,5828997,0.9611834615255496,0.9582379266964797
Automotive & Fuel,insurance_context,Insurance context,22920337.979999997,147608,130854,1,885959215.8799986,5828997,0.025870646830208618,0.02532305300551707
Travel,insurance_context,Insurance context,11469532.010000002,95823,82608,1,885959215.8799986,5828997,0.012945891644241925,0.016439020298003242
Insurance,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,1784124191.9399984,8528964,6749325,133,1862642175.5199983,9055807,0.9578459112480475,0.9418226338083397
Services,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,27158366.820000004,59010,53218,3,1862642175.5199983,9055807,0.014580560440932857,0.006516260781617806
Other,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,20291114.769999996,227736,209466,3,1862642175.5199983,9055807,0.010893726683889392,0.025148062453186116
Loans,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,13729301.469999999,70306,66028,1,1862642175.5199983,9055807,0.007370874368914768,0.007763637188822598
Restaurants & Dining,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,7410397.930000001,80863,73520,3,1862642175.5199983,9055807,0.003978433446526691,0.008929408499982387
Personal & Family,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,2773406.04,21591,19135,3,1862642175.5199983,9055807,0.0014889634071695718,0.002384216006370277
Entertainment & Recreation,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,2012976.0999999999,38580,28084,3,1862642175.5199983,9055807,0.0010807100399936088,0.004260249804352059
Mortgage,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,1124361.08,1024,987,3,1862642175.5199983,9055807,0.0006036377221438731,0.00011307661481743152
Rent,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,799731.69,1302,1260,3,1862642175.5199983,9055807,0.00042935336722778593,0.00014377514891825765
Utilities,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,566476.12,5641,5434,3,1862642175.5199983,9055807,0.0003041250367059124,0.0006229152189307922
Groceries,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,519779.14,4861,4263,3,1862642175.5199983,9055807,0.0002790547464409754,0.0005367826412378267
Service Charges & Fees,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,480018.26999999996,3348,3174,3,1862642175.5199983,9055807,0.0002577082578225161,0.00036970752578980535
Telecom & Internet,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,475686.73,3465,3186,3,1862642175.5199983,9055807,0.00025538277627972286,0.0003826274124437502
Subscriptions & Online Services,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,324066.18,3956,3776,3,1862642175.5199983,9055807,0.00017398198336700374,0.00043684676583765535
Electronics & Merchandise,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,238653.72,1428,1297,3,1862642175.5199983,9055807,0.00012812644486232276,0.00015768887300712128
Home Improvement,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,220536.72999999998,822,751,3,1862642175.5199983,9055807,0.00011839994438998043,9.077048572258662e-05
Taxes,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,127425.90000000001,915,826,3,1862642175.5199983,9055807,6.841136836409614e-05,0.00010104013921674788
Postage & Shipping,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,102729.17,402,386,2,1862642175.5199983,9055807,5.515239123763578e-05,4.439140542637448e-05
Charitable Giving & Gifts,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,60348.58,721,695,3,1862642175.5199983,9055807,3.239944890818997e-05,7.961742117516418e-05
Healthcare & Medical,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,48924.19,415,380,2,1862642175.5199983,9055807,2.626601643782801e-05,4.58269483879239e-05
Clothing & Personal Care,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,21678.95,147,136,3,1862642175.5199983,9055807,1.163881623905989e-05,1.623267810367425e-05
Office & Business,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,12188.22,150,146,2,1862642175.5199983,9055807,6.543511233765221e-06,1.6563957248647194e-05
Pets,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,10158.0,97,97,2,1862642175.5199983,9055807,5.453543430672167e-06,1.0711359020791852e-05
Education,insurance_taxonomy_leakage,Insurance labels outside primary insurance rows,9657.78,63,60,2,1862642175.5199983,9055807,5.184989434325364e-06,6.956862044431822e-06
Telecom & Internet,telco_affected_optus,Optus affected telco,281195759.84,3217531,2771228,1,281195759.84,3217531,1.0,1.0
Telecom & Internet,telco_competitors,Telco competitors,720222359.3399954,7573237,6670441,5,720222359.3399954,7573237,1.0,1.0
Telecom & Internet,telco_taxonomy_leakage,Telco labels outside primary telco category,335700848.51999944,2437942,1951221,5,356903063.93999946,2694167,0.9405939103297684,0.9048963928368212
Utilities,telco_taxonomy_leakage,Telco labels outside primary telco category,9167760.95,101492,76967,5,356903063.93999946,2694167,0.02568697743525461,0.037671012969871576
Other,telco_taxonomy_leakage,Telco labels outside primary telco category,3223494.04,32039,29938,8,356903063.93999946,2694167,0.009031847483780402,0.011891987393506045
Services,telco_taxonomy_leakage,Telco labels outside primary telco category,3128784.169999999,54911,50482,8,356903063.93999946,2694167,0.008766481675612604,0.020381438864034783
Personal & Family,telco_taxonomy_leakage,Telco labels outside primary telco category,1186767.2,13874,13056,6,356903063.93999946,2694167,0.0033251807560820286,0.005149643656091103
Rent,telco_taxonomy_leakage,Telco labels outside primary telco category,556009.82,615,603,5,356903063.93999946,2694167,0.001557873484923271,0.00022827092752602195
Insurance,telco_taxonomy_leakage,Telco labels outside primary telco category,554951.64,5413,5102,6,356903063.93999946,2694167,0.0015549085902308067,0.002009155334468873
Automotive & Fuel,telco_taxonomy_leakage,Telco labels outside primary telco category,481888.39,5436,4349,7,356903063.93999946,2694167,0.0013501940405897226,0.0020176922959861065
Electronics & Merchandise,telco_taxonomy_leakage,Telco labels outside primary telco category,478343.25,6505,5433,7,356903063.93999946,2694167,0.0013402609793241125,0.002414475420417517
Restaurants & Dining,telco_taxonomy_leakage,Telco labels outside primary telco category,424986.58,6097,5614,7,356903063.93999946,2694167,0.001190761926525367,0.002263037146546595
Loans,telco_taxonomy_leakage,Telco labels outside primary telco category,423536.08,4068,3778,7,356903063.93999946,2694167,0.0011866977977841135,0.0015099286718306623
Subscriptions & Online Services,telco_taxonomy_leakage,Telco labels outside primary telco category,362680.48,4927,4570,6,356903063.93999946,2694167,0.0010161876336846796,0.0018287656258873337
Groceries,telco_taxonomy_leakage,Telco labels outside primary telco category,332998.24,3639,3377,7,356903063.93999946,2694167,0.0009330215222136109,0.0013506957809222666
Entertainment & Recreation,telco_taxonomy_leakage,Telco labels outside primary telco category,329463.36000000004,11032,10504,7,356903063.93999946,2694167,0.0009231172082495418,0.004094772150352966
Travel,telco_taxonomy_leakage,Telco labels outside primary telco category,206008.57,2411,2202,6,356903063.93999946,2694167,0.000577211547936257,0.000894896270349982
Mortgage,telco_taxonomy_leakage,Telco labels outside primary telco category,137465.53,959,932,6,356903063.93999946,2694167,0.0003851620899032403,0.00035595417804464236
Service Charges & Fees,telco_taxonomy_leakage,Telco labels outside primary telco category,63664.020000000004,1225,1151,7,356903063.93999946,2694167,0.00017837902341657352,0.00045468599385264534
Healthcare & Medical,telco_taxonomy_leakage,Telco labels outside primary telco category,45340.62,647,554,6,356903063.93999946,2694167,0.00012703903267028948,0.00024014843920217268
Charitable Giving & Gifts,telco_taxonomy_leakage,Telco labels outside primary telco category,43562.91,523,512,4,356903063.93999946,2694167,0.00012205810036790145,0.0001941230814570886
Home Improvement,telco_taxonomy_leakage,Telco labels outside primary telco category,20039.65,206,198,5,356903063.93999946,2694167,5.61487194275501e-05,7.646148141522036e-05
Taxes,telco_taxonomy_leakage,Telco labels outside primary telco category,17387.440000000002,20,19,4,356903063.93999946,2694167,4.8717541979194334e-05,7.42344479759421e-06
Clothing & Personal Care,telco_taxonomy_leakage,Telco labels outside primary telco category,9071.62,106,104,3,356903063.93999946,2694167,2.541760191087928e-05,3.934425742724931e-05
Postage & Shipping,telco_taxonomy_leakage,Telco labels outside primary telco category,5814.62,48,46,3,356903063.93999946,2694167,1.6291874706285854e-05,1.7816267514226103e-05
Office & Business,telco_taxonomy_leakage,Telco labels outside primary telco category,1009.91,13,13,4,356903063.93999946,2694167,2.8296478849219975e-06,4.825239118436236e-06
Education,telco_taxonomy_leakage,Telco labels outside primary telco category,747.66,10,9,3,356903063.93999946,2694167,2.0948545292558554e-06,3.711722398797105e-06
Pets,telco_taxonomy_leakage,Telco labels outside primary telco category,438.67,9,9,2,356903063.93999946,2694167,1.2291012443472516e-06,3.3405501589173944e-06
